"";"event";"pairing_order";"team_home";"gymnast_home";"dvalue_home";"endvalue_home";"score_home";"team_guest";"gymnast_guest";"dvalue_guest";"endvalue_guest";"score_guest";"home_starts";"url";"time";"location"
"horizontal_bar.11";"horizontal_bar";1;"KTG Heidelberg";"Aoki, Shimon";3,8;13,2;0;"TG Allgäu";"Kirmes, Oskar";4,6;13,65;2;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"horizontal_bar.21";"horizontal_bar";2;"KTG Heidelberg";"Gäbler, Karl-Ole";3,7;12,45;0;"TG Allgäu";"Urbin, Michael";3,5;12,3;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"horizontal_bar.31";"horizontal_bar";3;"KTG Heidelberg";"Rauprich, Marvin";3,6;12,15;2;"TG Allgäu";"Krapp, Kilian";3,9;11,7;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"horizontal_bar.41";"horizontal_bar";4;"KTG Heidelberg";"Kashiwagi, Tomoya";5;13,5;5;"TG Allgäu";"Hartner, Martin";3,6;10,4;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"floor.12";"floor";1;"Exquisa Oberbayern";"Stemmer, Fabian";4,4;12,45;3;"MTV Ludwigsburg";"Winkler, Jonas";4,3;11,8;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"floor.22";"floor";2;"Exquisa Oberbayern";"Braig, Moritz";5;13,25;3;"MTV Ludwigsburg";"Teschner, Magnus";4,7;12,65;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"floor.32";"floor";3;"Exquisa Oberbayern";"Dauth, Fabian";3,5;11,85;0;"MTV Ludwigsburg";"Bonicelli, Lorenzo";5,5;12,1;1;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"floor.42";"floor";4;"Exquisa Oberbayern";"Schmidt, Casimir";5,4;13,05;3;"MTV Ludwigsburg";"Herbst, Kai";4;12,1;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"pommel_horse.12";"pommel_horse";1;"Exquisa Oberbayern";"Müller, Markus";4,6;12,8;0;"MTV Ludwigsburg";"Bonicelli, Lorenzo";5;13,2;2;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
"pommel_horse.22";"pommel_horse";2;"Exquisa Oberbayern";"Dauth, Fabian";4,2;11,75;3;"MTV Ludwigsburg";"Eder, Jonas";4,1;10,8;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2401";2022-11-12 18:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching"
